mode,heated,max_steps,cem,rel_error_mean,rel_error_std,unique_mean,n_runs
ballistic,False,2000,False,26.317691806745184,19.02980552794538,0.0017198268075000907,24
ballistic,False,2000,True,27.167397560260568,20.858513549359454,0.0018991681926305685,24
ballistic,False,5000,True,27.21586603293007,23.87357638808219,0.09119497334903343,24
ballistic,False,5000,False,29.417719477056576,23.167928585454494,0.0017763554627156857,24
ballistic,True,2000,False,29.7779510403748,20.694798923204402,0.0029435378408447167,24
ballistic,True,2000,True,30.185006195688587,22.62620249391933,0.0023196486375594073,24
discrete,False,500,False,30.617780842177677,37.47751500089944,0.07336919385910705,24
ballistic,True,5000,False,32.05699450198955,21.667367993452892,0.002211469456843038,24
discrete,False,500,True,32.1979896939314,39.09330926027633,0.06719007526989038,24
ballistic,False,1000,False,32.559620294262494,22.632907608655934,0.011974940094813459,24
ballistic,False,1000,True,33.27714813555105,24.98821710909268,0.0024292979285116174,24
ballistic,True,5000,True,35.54069041182165,25.402769594089666,0.002394773734411392,24
discrete,True,2000,False,40.71062527698963,24.16194423501673,0.005587675304804512,24
discrete,False,2000,True,41.558776395896096,18.322259390453148,0.005216187061559332,24
discrete,True,5000,True,41.647771369371874,21.330815173822277,0.09296994087035075,24
discrete,False,1000,False,41.756851176469944,19.64183177778016,0.029750672260803423,24
discrete,False,5000,False,42.68862097735433,21.252510053976675,0.003877013502779732,24
discrete,False,1000,True,43.57422489406212,16.94126721106299,0.008410276515061755,24
discrete,False,2000,False,43.685600434848816,20.30778353927806,0.004450808972861263,24
discrete,True,2000,True,44.40609241493757,16.393230383085378,0.005866389442348419,24
discrete,True,1000,True,44.80448538491485,21.353745033938154,0.011636469128017064,24
discrete,True,5000,False,45.27963657937187,22.242649731599467,0.0040939736553435874,24
ballistic,True,500,False,45.72143316405023,43.73854668169439,0.04928702937803076,24
discrete,False,5000,True,46.40288316158402,25.411123923963853,0.03447445541740897,24
ballistic,True,500,True,50.97374853668857,44.89011854832744,0.08323676793993912,24
discrete,True,1000,False,52.325266342306115,20.562243079959487,0.020472006564792714,24
ballistic,True,1000,True,53.12987085720155,34.835397961732575,0.00981406840545186,24
ballistic,False,500,True,53.46917811965691,37.525506941942666,0.04878132303813997,24
ballistic,True,1000,False,55.5563540999271,28.947607984201422,0.03674034089203874,24
discrete,True,500,False,58.7237517490725,46.508142694405315,0.07610005548853663,24
ballistic,False,500,False,58.96268529004583,28.71341215268914,0.06828005725408336,24
discrete,True,500,True,62.087917480907926,51.2414236416306,0.0639643059505468,24
ballistic,False,300,False,74.6039349751941,34.106771109403724,0.06555181703456986,24
ballistic,False,300,True,80.1457821518812,25.986662793867723,0.09004957936805981,24
discrete,True,300,False,86.05884990325445,27.332433250865588,0.06286400391975612,24
discrete,False,300,False,88.60199813277883,42.06494482699333,0.08259299690816534,24
discrete,False,300,True,90.81512154364826,25.314394076917907,0.06615643555908267,24
ballistic,True,300,False,100.68147503748719,21.874555830089925,0.1030386999784325,24
discrete,True,300,True,102.32050818643656,21.049974128029127,0.044092576953064476,24
ballistic,True,300,True,4495542.1198500255,22023071.295558147,0.07135474024555653,24
discrete,False,100,False,7.752560360100928e+16,2.3218392811357536e+17,0.17668570649122117,24
discrete,False,100,True,2.99723019487658e+18,1.4646885189909953e+19,0.13171584289051877,24
discrete,True,100,False,4.6099758617419506e+19,1.0765034585574084e+20,0.14167822675778116,24
discrete,True,100,True,6.054710488667165e+19,1.6413767636961355e+20,0.13679461498199907,24
ballistic,False,100,True,1.1232059116877081e+42,5.502562719424939e+42,0.3788558861519081,24
ballistic,False,100,False,3.7618636221012404e+42,1.8429292712172325e+43,0.27190798789842724,24
ballistic,True,100,True,1.4111930526932702e+45,6.68544449175134e+45,0.42091735885584525,24
ballistic,True,100,False,2.5473360364093105e+45,9.743878342537966e+45,0.4021198246570182,24
