model,size,n_visible,n_hidden,alpha,n_qubits,n_connections,max_connections,sparsity,deg_vis_mean,deg_vis_min,deg_vis_max,deg_hid_mean,deg_hid_min,deg_hid_max,viable,well_connected,error
1d,512,512,512,1,1024,7200,262144,0.9725341796875,14.0625,0.0,16.0,14.0625,7.0,16.0,False,True,
1d,768,768,768,1,1536,10930,589824,0.9814690483940972,14.231770833333334,0.0,16.0,14.231770833333334,4.0,16.0,False,True,
1d,1024,1024,1024,1,2048,14735,1048576,0.9859476089477539,14.3896484375,1.0,16.0,14.3896484375,7.0,16.0,True,True,
1d,1536,1536,1536,1,3072,22400,2359296,0.9905056423611112,14.583333333333334,5.0,16.0,14.583333333333334,0.0,16.0,True,True,
1d,2048,2048,2048,1,4096,29908,4194304,0.9928693771362305,14.603515625,5.0,16.0,14.603515625,0.0,16.0,True,True,
2d,16,256,256,1,512,3501,65536,0.9465789794921875,13.67578125,0.0,16.0,13.67578125,4.0,16.0,False,True,
2d,20,400,400,1,800,5592,160000,0.96505,13.98,0.0,16.0,13.98,7.0,16.0,False,True,
2d,24,576,576,1,1152,8143,331776,0.9754563319830247,14.137152777777779,0.0,16.0,14.137152777777779,7.0,16.0,False,True,
2d,32,1024,1024,1,2048,14735,1048576,0.9859476089477539,14.3896484375,1.0,16.0,14.3896484375,7.0,16.0,True,True,
2d,40,1600,1600,1,3200,23317,2560000,0.990891796875,14.573125,5.0,16.0,14.573125,0.0,16.0,True,True,
